0,1,2,3,4,5,6,7,8,9,10
newspapers,frozen dessert,,,,,,,,,
pip fruit,rolls/buns,yogurt,,,,,,,,
specialty vegetables,yogurt,,,,,,,,,
condensed milk,pastry,,,,,,,,,
dessert,soda,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
fruit/vegetable juice,seasonal products,,,,,,,,,
curd,soda,ice cream,,,,,,,,
butter,misc. beverages,shopping bags,,,,,,,,
grapes,other vegetables,,,,,,,,,
soda,semi-finished bread,coffee,,,,,,,,
white bread,specialty chocolate,,,,,,,,,
rolls/buns,kitchen towels,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
curd,sausage,,,,,,,,,
yogurt,bottled water,berries,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
beverages,soda,,,,,,,,,
mustard,root vegetables,,,,,,,,,
hamburger meat,tidbits,,,,,,,,,
root vegetables,whipped/sour cream,frozen potato products,sugar,,,,,,,
packaged fruit/vegetables,pet care,,,,,,,,,
soda,soda,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
yogurt,semi-finished bread,,,,,,,,,
bottled water,detergent,domestic eggs,yogurt,,,,,,,
yogurt,rolls/buns,,,,,,,,,
rolls/buns,grapes,potato products,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
chicken,brown bread,,,,,,,,,
organic sausage,grapes,pastry,,,,,,,,
sausage,berries,soda,yogurt,,,,,,,
ice cream,yogurt,,,,,,,,,
turkey,bottled water,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
yogurt,hard cheese,,,,,,,,,
frozen dessert,citrus fruit,,,,,,,,,
frankfurter,soda,other vegetables,,,,,,,,
pip fruit,candy,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
ham,seasonal products,cat food,,,,,,,,
rolls/buns,sugar,,,,,,,,,
pip fruit,hard cheese,candy,,,,,,,,
pip fruit,artif. sweetener,hygiene articles,,,,,,,,
tropical fruit,pork,newspapers,,,,,,,,
whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns,,,
root vegetables,sweet spreads,,,,,,,,,
pork,liquor,,,,,,,,,
grapes,bottled beer,,,,,,,,,
frozen potato products,domestic eggs,curd cheese,,,,,,,,
canned beer,male cosmetics,white wine,ice cream,,,,,,,
bottled beer,whole milk,other vegetables,,,,,,,,
frankfurter,Instant food products,,,,,,,,,
whole milk,brown bread,,,,,,,,,
soda,bottled water,hygiene articles,,,,,,,,
soda,grapes,,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
soda,whole milk,,,,,,,,,
pork,brown bread,,,,,,,,,
whipped/sour cream,canned fish,,,,,,,,,
bottled water,root vegetables,rolls/buns,whole milk,coffee,,,,,,
bottled beer,other vegetables,waffles,,,,,,,,
yogurt,brown bread,,,,,,,,,
pork,soda,,,,,,,,,
pip fruit,soda,,,,,,,,,
tropical fruit,curd,,,,,,,,,
herbs,soups,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
beef,condensed milk,,,,,,,,,
ham,canned vegetables,,,,,,,,,
beef,margarine,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
white bread,rolls/buns,,,,,,,,,
onions,hard cheese,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
canned beer,specialty cheese,,,,,,,,,
whole milk,bottled water,soda,,,,,,,,
chicken,ice cream,bottled water,,,,,,,,
white bread,beef,coffee,flour,,,,,,,
pip fruit,shopping bags,yogurt,,,,,,,,
mustard,whole milk,,,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
beef,hard cheese,soft cheese,yogurt,,,,,,,
chicken,flower (seeds),onions,rolls/buns,,,,,,,
sausage,flour,,,,,,,,,
shopping bags,curd,hard cheese,,,,,,,,
cream cheese ,pastry,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
brown bread,canned beer,,,,,,,,,
